entity;occur;06/2015;02/2015;01/2016;12/2015;07/2014;06/2014;11/2015;06/2017;08/2016;11/2014;09/2014;08/2014;10/2015;02/2014;12/2016;09/2015;05/2016;04/2016;03/2016;05/2014;01/2017;02/2017;05/2017;03/2017;07/2017;11/2016;09/2016;02/2016;04/2017;03/2015;06/2016;01/2014;10/2016;12/2014;10/2014;03/2014;04/2014;07/2016;01/2015;04/2015;07/2015;05/2015;08/2015
California;1496;None;None;0.035614;None;None;None;None;-0.018131;None;None;None;None;None;0.012766;None;-0.005257;-0.011805;-0.022783;None;0.002826;0.052309;None;0.017484;None;-0.013645;0.001993;-0.0306;0.014357;None;0.002982;None;0.005753;None;None;None;None;-0.039788;None;None;None;None;None
four;1484;None;None;0.027842000000000002;None;None;None;None;0.0014;None;None;None;None;None;0.040068;None;-0.026905378378378374;-0.060577;0.009023999999999999;None;0.022268;0.042998;None;0.040833;None;0.014433000000000001;-0.041612;0.052641999999999994;0.020784;None;-0.041676;None;0.019407;None;None;None;None;-0.046017;None;None;None;None;None
White House;1480;None;None;-0.075556;None;None;None;None;0.079217;None;None;None;None;None;0.023212;None;0.008189;0.070844;0.183029;None;0.045529;-0.04870417472118959;None;-0.023571;None;0.044816;0.10311600000000001;0.068646;0.00038199999999999996;None;-0.052483;None;-0.00462;None;None;None;None;0.055542999999999995;None;None;None;None;None
2012;1449;None;None;-0.07103999999999999;None;None;None;None;-0.007548999999999999;None;None;None;None;None;0.025243;None;0.03248;0.08529099999999999;0.089269;None;0.032307;-0.033433;None;-0.034802;None;0.013500999999999999;0.041524;0.069151;-0.034961;None;0.011609999999999999;None;-0.005374;None;None;None;None;-0.017218;None;None;None;None;None
Tuesday;1414;None;None;-0.15931800000000002;None;None;None;None;0.146475;-0.012253;None;None;None;None;None;0.011502;None;-0.022038;0.024391999999999997;0.044650999999999996;None;-0.016994;0.0075120000000000004;None;-0.010457;None;0.089245;-0.024211;0.327579;-0.046657;None;-0.015861;None;0.0302;None;None;None;None;-0.017334;None;None;None;None;None
2014;1392;None;None;0.018574;None;None;None;None;-0.018579;None;None;None;None;None;-0.017119;None;-0.026579000000000002;-0.018994;-0.025209;None;0.063047;0.041155000000000004;None;0.054770000000000006;None;-0.014943000000000001;-0.011042;-0.04097;-0.00058;None;-0.040623;None;-0.056285;None;None;None;None;-0.065913;None;None;None;None;None
Syria;1389;None;None;-0.024474;None;None;None;None;-0.057064;None;None;None;None;None;-0.06488;None;-0.043733;-0.09751599999999999;-0.163141;None;-0.0033770000000000002;-0.07914700000000001;None;-0.08472;None;-0.070393;-0.031658;-0.0059960000000000005;-0.103333;None;-0.06235;None;-0.074817;None;None;None;None;-0.17268699999999998;None;None;None;None;None
Bush;1380;None;None;0.06106;None;None;None;None;-0.00285;None;None;None;None;None;0.066045;None;0.035843;0.112447;0.052388;None;0.028147000000000002;-0.017363999999999997;None;0.022609;None;0.018359999999999998;-0.003551;0.063818;-0.073326;None;0.041864;None;0.038212;None;None;None;None;0.06865800000000001;None;None;None;None;None
Ryan;1369;None;None;0.059175;None;None;None;None;0.125986;None;None;None;None;None;0.031829;None;0.046057;0.07463099999999999;0.0;None;0.023895;0.037572;None;0.024957;None;0.034697000000000006;0.05885;0.0;0.065203;None;0.009209;None;0.078427;None;None;None;None;0.07625900000000001;None;None;None;None;None
Monday;1330;None;None;-0.050463;None;None;None;None;0.0;-0.001198;None;None;None;None;None;-0.058575999999999996;None;-0.019506;-0.037337999999999996;0.1098;None;1.2e-05;-0.021509;None;0.032358;None;0.021878;-0.014138;0.037511;-0.008364;None;-0.06681799999999999;None;0.0034509999999999996;None;None;None;None;-0.03499;None;None;None;None;None
